#numMotions
3
#motionIndex
0 0
#motionName
rest rest
#numFrames
799 799
#minListSize
138
#i j distance theta x0 z0
505 550 0.018469 0.0014967 -4.34408e-005 -0.00278327
511 544 0.018469 -0.0014967 3.9275e-005 0.00278334
535 556 0.024155 5.28564e-005 -3.87315e-005 -0.00144124
517 574 0.024155 -5.28564e-005 3.86553e-005 0.00144125
45 78 0.02801 -0.00103692 -0.000554894 0.00223261
39 84 0.02801 0.00103692 0.000552579 -0.00223318
436 465 0.0308942 0.00492343 0.00125173 -0.00982803
426 475 0.0308942 -0.00492343 -0.0013001 0.00982175
463 510 0.0338293 0.00199114 -0.000390408 -0.00372004
471 502 0.0338293 -0.00199114 0.000383 0.00372081
481 527 0.0338459 0.00352484 -0.000152038 -0.00701116
488 520 0.0338459 -0.00352484 0.000127324 0.00701166
466 496 0.0347162 -0.00122144 0.000527203 0.00210007
457 505 0.0347162 0.00122144 -0.000529768 -0.00209943
476 508 0.0350779 -0.00252857 0.000287523 0.00485837
469 515 0.0350779 0.00252857 -0.000299807 -0.00485763
471 492 0.0591278 -0.00236422 0.000992834 0.00402862
453 510 0.0591278 0.00236422 -0.00100236 -0.00402626
474 495 0.0596778 -0.00368074 0.000910751 0.00673613
456 513 0.0596778 0.00368074 -0.000935538 -0.00673273
484 547 0.0642109 0.0086856 -0.000324026 -0.0168951
508 523 0.0642109 -0.0086856 0.000177272 0.0168972
481 544 0.0643949 0.00945973 -0.000386287 -0.0185197
505 520 0.0643949 -0.00945973 0.000211081 0.0185226
164 151 0.144902 -0.00666112 -0.00209611 0.0168134
112 203 0.144903 0.00666112 0.00198407 -0.016827
262 237 0.416901 -0.0189187 0.0041837 0.0425639
198 301 0.416901 0.0189187 -0.00498816 -0.0424771
201 304 0.417365 0.0175327 -0.00484508 -0.0396163
265 240 0.417365 -0.0175327 0.00414979 0.0396952
267 236 0.42189 -0.0197778 0.00410653 0.0446866
197 306 0.42189 0.0197778 -0.00498948 -0.0445967
544 415 0.660788 0.0197956 0.00786283 -0.0381959
376 583 0.660788 -0.0197956 -0.00861735 0.0380328
378 560 0.6865 -0.0172172 -0.00845441 0.0315272
521 417 0.6865 0.0172172 0.00791037 -0.0316681
119 321 0.767869 0.0407601 -0.00358909 -0.0934055
282 158 0.767869 -0.0407601 -0.000220058 0.0934741
120 318 0.768159 0.0407325 -0.00383109 -0.0929301
279 159 0.768159 -0.0407325 4.36854e-005 0.093009
278 162 0.768676 -0.0411321 0.000185174 0.0935524
